Reference, Value, Footprint,Source,Estimated cost,Comment
J11,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
J12,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,0.048,
J13,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
J2,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
J3,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
J4,BAT+,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~,0,
J5,CHG+,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~,0,
J6,BAT-,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~,0,
J7,CHG-,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~,0,
J8,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
J9,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
JP1,Short 5V,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,~,0,
JP2,FORCE PWR,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,~,0,
JP3,DAC A0,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~,0,
L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8,~,0.24,
R1,47K*,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Optional,0.024,
R10,33KK,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R11,1K8,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R12,43K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R13,51K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R14,7K5,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R15,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R16,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R17,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R18,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R2,47K*,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Optional,0.024,
R3,43K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R6,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R7,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R8,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
R9,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.024,
SW1,WAKE,Livrary:SW_PUSH_TS_1224W,,0.12,
SW2,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5,https://fr.aliexpress.com/item/32802382507.html,0.12,
SW3,SEL,Livrary:SW_PUSH_TS_1224W,,0.12,
SW4,SWITCH,Livrary:SW_MSK_01S,https://fr.aliexpress.com/item/1005001629222726.html,0.12,
SW5,SWITCH,Livrary:SPDT_Small,https://fr.aliexpress.com/item/4000401919028.html,0.12,
SW6,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,"https://fr.aliexpress.com/item/32912263133.html
https://fr.aliexpress.com/item/32912894177.html",0.12,
SW7,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,"https://fr.aliexpress.com/item/32912263133.html
https://fr.aliexpress.com/item/32912894177.html",0.12,
TP1,GND,TestPoint:TestPoint_Pad_D1.5mm,~,0,
TP7,VREG,TestPoint:TestPoint_Pad_D1.5mm,~,0,
TP8,CHG V,TestPoint:TestPoint_Pad_D1.5mm,~,0,
U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231.pdf,2.4,Subject to variation
U2,WT32-SC01,Livrary:WS32-SC01-H,,0,
U3,DW01x,Package_TO_SOT_SMD:TSOT-23-6,,0.12,
U4,TP4056,Livrary:SOP-8_EP,,0.24,
U5,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,,0.36,
U6,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,,0.12,
U7,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6,http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf,2.4,Subject to variation
U8,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm386.pdf,0.12,
,,,total,9.964641758,
